dataset_version,recording_id,source_recording_id,session_group_id,source,subject_id,canonical_label,dataset_role,split,edf_path,activity_start_s,activity_end_s,sfreq_hz,window_sec,step_sec
author_mat_v1,author_eeg_record3_focus,author_eeg_record3,author_eeg_record3,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record3.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record3_unfocus,author_eeg_record3,author_eeg_record3,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record3.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record4_focus,author_eeg_record4,author_eeg_record4,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record4.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record4_unfocus,author_eeg_record4,author_eeg_record4,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record4.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record5_focus,author_eeg_record5,author_eeg_record5,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record5.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record5_unfocus,author_eeg_record5,author_eeg_record5,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record5.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record6_focus,author_eeg_record6,author_eeg_record6,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record6.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record6_unfocus,author_eeg_record6,author_eeg_record6,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record6.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record7_focus,author_eeg_record7,author_eeg_record7,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record7.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record7_unfocus,author_eeg_record7,author_eeg_record7,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record7.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record10_focus,author_eeg_record10,author_eeg_record10,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record10.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record10_unfocus,author_eeg_record10,author_eeg_record10,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record10.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record11_focus,author_eeg_record11,author_eeg_record11,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record11.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record11_unfocus,author_eeg_record11,author_eeg_record11,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record11.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record12_focus,author_eeg_record12,author_eeg_record12,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record12.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record12_unfocus,author_eeg_record12,author_eeg_record12,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record12.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record13_focus,author_eeg_record13,author_eeg_record13,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record13.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record13_unfocus,author_eeg_record13,author_eeg_record13,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record13.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record14_focus,author_eeg_record14,author_eeg_record14,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record14.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record14_unfocus,author_eeg_record14,author_eeg_record14,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record14.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record17_focus,author_eeg_record17,author_eeg_record17,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record17.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record17_unfocus,author_eeg_record17,author_eeg_record17,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record17.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record18_focus,author_eeg_record18,author_eeg_record18,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record18.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record18_unfocus,author_eeg_record18,author_eeg_record18,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record18.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record19_focus,author_eeg_record19,author_eeg_record19,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record19.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record19_unfocus,author_eeg_record19,author_eeg_record19,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record19.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record20_focus,author_eeg_record20,author_eeg_record20,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record20.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record20_unfocus,author_eeg_record20,author_eeg_record20,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record20.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record21_focus,author_eeg_record21,author_eeg_record21,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record21.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record21_unfocus,author_eeg_record21,author_eeg_record21,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record21.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record24_focus,author_eeg_record24,author_eeg_record24,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record24.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record24_unfocus,author_eeg_record24,author_eeg_record24,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record24.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record25_focus,author_eeg_record25,author_eeg_record25,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record25.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record25_unfocus,author_eeg_record25,author_eeg_record25,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record25.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record26_focus,author_eeg_record26,author_eeg_record26,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record26.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record26_unfocus,author_eeg_record26,author_eeg_record26,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record26.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record27_focus,author_eeg_record27,author_eeg_record27,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record27.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record27_unfocus,author_eeg_record27,author_eeg_record27,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record27.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record31_focus,author_eeg_record31,author_eeg_record31,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record31.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record31_unfocus,author_eeg_record31,author_eeg_record31,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record31.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record32_focus,author_eeg_record32,author_eeg_record32,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record32.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record32_unfocus,author_eeg_record32,author_eeg_record32,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record32.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record33_focus,author_eeg_record33,author_eeg_record33,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record33.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record33_unfocus,author_eeg_record33,author_eeg_record33,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record33.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record34_focus,author_eeg_record34,author_eeg_record34,author,author,focus,author_candidate,train,data/reference/original_mat/eeg_record34.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record34_unfocus,author_eeg_record34,author_eeg_record34,author,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record34.mat,600.0,1200.0,128.0,4.0,2.0
