record_id,mat_filename,o_id,top_level_data_field,data_rows_samples,data_columns,sampFreq_hz,nS,duration_s,marker_shape,trials_shape,author_slice,author_channel_order,common7_channel_order
eeg_record3,eeg_record3.mat,201410121914.D091BB44,o.data,357224,25,128.0,357224,2790.8125,"(357224,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record4,eeg_record4.mat,201410131955.D091BB44,o.data,380344,25,128.0,380344,2971.4375,"(380344,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record5,eeg_record5.mat,201410211925.D091BB44,o.data,351204,25,128.0,351204,2743.78125,"(351204,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record6,eeg_record6.mat,201411241923.D091BB44,o.data,288752,25,128.0,288752,2255.875,"(288752,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record7,eeg_record7.mat,201411251929.D091BB44,o.data,398816,25,128.0,398816,3115.75,"(398816,)","(3, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record10,eeg_record10.mat,201412021859.D091BB44,o.data,381340,25,128.0,381340,2979.21875,"(381340,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record11,eeg_record11.mat,201412031928.D091BB44,o.data,391624,25,128.0,391624,3059.5625,"(391624,)","(3, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record12,eeg_record12.mat,201412101811.D091BB44,o.data,356728,25,128.0,356728,2786.9375,"(356728,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record13,eeg_record13.mat,201412111947.D091BB44,o.data,373304,25,128.0,373304,2916.4375,"(373304,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record14,eeg_record14.mat,201412121958.D091BB44,o.data,345164,25,128.0,345164,2696.59375,"(345164,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record17,eeg_record17.mat,201412191939.D091BB44,o.data,443972,25,128.0,443972,3468.53125,"(443972,)","(3, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record18,eeg_record18.mat,201412211957.D091BB44,o.data,361840,25,128.0,361840,2826.875,"(361840,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record19,eeg_record19.mat,201412231923.D091BB44,o.data,333236,25,128.0,333236,2603.40625,"(333236,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record20,eeg_record20.mat,201412251915.D091BB44,o.data,396812,25,128.0,396812,3100.09375,"(396812,)","(3, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record21,eeg_record21.mat,201412261901.D091BB44,o.data,336280,25,128.0,336280,2627.1875,"(336280,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
eeg_record24,eeg_record24.mat,201501201918.D091BB44,o.data,360928,25,128.0,360928,2819.75,"(360928,)","(2, 14, 128)","o.data[:20*128*60, 3:17]","AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4","F7, F3, P7, O1, O2, P8, AF4"
