dataset_version,recording_id,source_recording_id,session_group_id,subject_id,canonical_label,dataset_role,split,edf_path,activity_start_s,activity_end_s,sfreq_hz,window_sec,step_sec
author_mat_v1,author_eeg_record3_focus,author_eeg_record3,author_eeg_record3,author,focus,author_candidate,train,data/reference/original_mat/eeg_record3.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record3_unfocus,author_eeg_record3,author_eeg_record3,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record3.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record4_focus,author_eeg_record4,author_eeg_record4,author,focus,author_candidate,train,data/reference/original_mat/eeg_record4.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record4_unfocus,author_eeg_record4,author_eeg_record4,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record4.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record5_focus,author_eeg_record5,author_eeg_record5,author,focus,author_candidate,train,data/reference/original_mat/eeg_record5.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record5_unfocus,author_eeg_record5,author_eeg_record5,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record5.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record6_focus,author_eeg_record6,author_eeg_record6,author,focus,author_candidate,train,data/reference/original_mat/eeg_record6.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record6_unfocus,author_eeg_record6,author_eeg_record6,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record6.mat,600.0,1200.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record7_focus,author_eeg_record7,author_eeg_record7,author,focus,author_candidate,train,data/reference/original_mat/eeg_record7.mat,0.0,600.0,128.0,4.0,2.0
author_mat_v1,author_eeg_record7_unfocus,author_eeg_record7,author_eeg_record7,author,unfocus,author_candidate,train,data/reference/original_mat/eeg_record7.mat,600.0,1200.0,128.0,4.0,2.0
