record_id,mat_path,selected_for_author_common7,top_level_struct,o_fields,reference_or_montage_fields,data_shape,sampFreq_hz,author_data_slice,author_channel_order,tag
1,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record1.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(308868, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
2,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record2.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(366020, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
3,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record3.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(357224, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
4,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record4.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(380344, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
5,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record5.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(351204, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
6,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record6.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(288752, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
7,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record7.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(398816, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
8,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record8.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(365888, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
9,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record9.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(388788, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
10,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record10.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(381340, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
11,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record11.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(391624, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
12,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record12.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(356728, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
13,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record13.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(373304, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
14,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record14.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(345164, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
15,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record15.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(359164, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
16,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record16.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(234372, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
17,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record17.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(443972, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
18,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record18.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(361840, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
19,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record19.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(333236, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
20,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record20.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(396812, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
21,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record21.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(336280, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
22,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record22.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(324764, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
23,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record23.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(388088, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
24,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record24.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(360928, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
25,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record25.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(415164, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
26,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record26.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(363232, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
27,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record27.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(347548, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
28,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record28.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(214540, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
29,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record29.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(424608, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
30,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record30.mat,False,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(349008, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
31,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record31.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(428848, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
32,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record32.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(483732, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
33,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record33.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(483376, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
34,C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\reference\original_mat\eeg_record34.mat,True,o,"id, tag, nS, sampFreq, marker, timestamp, data, trials",,"(408976, 25)",128.0,"o.data[:20*128*60, 3:17]","AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4",[]
