edf_path,source_role,subject_id,sfreq_hz,mne_eeg_channel_count,mne_channel_names,edf_header_signal_labels,has_t5_pz,has_t6_pz,has_p7,has_p8,has_f7_pz,has_f3_pz,has_o1_pz,has_o2_pz,info_description,info_subject_info,mne_montage_dig_present,mne_custom_ref_applied,mne_projector_count,orig_units,csv_path
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_death1_20260907_raw.edf,locked_reference,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_death1_20260907_raw.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus1_20260907.edf,locked_test,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus1_20260907.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus_202609072034_raw.edf,locked_test,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus_202609072034_raw.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_unfocus1_20260907.edf,locked_test,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_unfocus1_20260907.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus1_20260907.edf,locked_test,zyf,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus1_20260907.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus2_20260907.edf,locked_test,zyf,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus2_20260907.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_unfocus1_20260907.edf,locked_test,zyf,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_unfocus1_20260907.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze1.edf,legacy_reference,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze1.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze2.edf,legacy_reference,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze2.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus1.edf,legacy_baseline_candidate,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus1.csv
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus2.edf,legacy_baseline_candidate,lyc,300.0,25,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger","EEG P3-Pz, EEG C3-Pz, EEG F3-Pz, EEG Fz-Pz, EEG F4-Pz, EEG C4-Pz, EEG P4-Pz, EEG Cz-Pz, EEG CM-Pz, EEG A1-Pz, EEG Fp1-Pz, EEG Fp2-Pz, EEG T3-Pz, EEG T5-Pz, EEG O1-Pz, EEG O2-Pz, EEG X3-Pz, EEG X2-Pz, EEG F7-Pz, EEG F8-Pz, EEG X1-Pz, EEG A2-Pz, EEG T6-Pz, EEG T4-Pz, Trigger, EDF Annotations",True,True,False,False,True,True,True,True,,"<subject_info | his_id: X, sex: 2, last_name: X>",False,0 (FIFFV_MNE_CUSTOM_REF_OFF),0,"{'P3-Pz': 'µV', 'C3-Pz': 'µV', 'F3-Pz': 'µV', 'Fz-Pz': 'µV', 'F4-Pz': 'µV', 'C4-Pz': 'µV', 'P4-Pz': 'µV', 'Cz-Pz': 'µV', 'CM-Pz': 'µV', 'A1-Pz': 'µV', 'Fp1-Pz': 'µV', 'Fp2-Pz': 'µV', 'T3-Pz': 'µV', 'T5-Pz': 'µV', 'O1-Pz': 'µV', 'O2-Pz': 'µV', 'X3-Pz': 'µV', 'X2-Pz': 'µV', 'F7-Pz': 'µV', 'F8-Pz': 'µV', 'X1-Pz': 'µV', 'A2-Pz': 'µV', 'T6-Pz': 'µV', 'T4-Pz': 'µV', 'Trigger': 'n/a'}",C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus2.csv
