csv_path,source_role,reference_location,headset_name,data_logger,filter_metadata,sensor_units,channel_header
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_death1_20260907_raw.csv,locked_reference,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus1_20260907.csv,locked_test,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_focus_202609072034_raw.csv,locked_test,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\lyc_unfocus1_20260907.csv,locked_test,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus1_20260907.csv,locked_test,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_focus2_20260907.csv,locked_test,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\locked\2026-09-07\zyf_unfocus1_20260907.csv,locked_test,Pz,DSI-24 SN:6035,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze1.csv,legacy_reference,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\daze2.csv,legacy_reference,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus1.csv,legacy_baseline_candidate,Pz,DSI-24 SN:7101,DSI-Streamer-v.1.08.44,Non-Filtered,uV,"Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments"
