model_id,model,test_subject,status,accuracy,balanced_accuracy,windows,predicted_class_counts,predicted_class_ratio,confusion_matrix,author_or_cross_source_heldout_balanced_accuracy,note
existing_pooled_frozen,Existing pooled frozen model,lyc,available,0.6554472984942427,0.6427990766760336,1129,"{""focus"": 662, ""unfocus"": 467}","{""focus"": 0.5863596102745793, ""unfocus"": 0.4136403897254207}","[[251, 173], [216, 489]]",,
existing_pooled_frozen,Existing pooled frozen model,zyf,available,0.4611111111111111,0.5769158644830603,1260,"{""focus"": 229, ""unfocus"": 1031}","{""focus"": 0.1817460317460317, ""unfocus"": 0.8182539682539682}","[[385, 33], [646, 196]]",,
lyc_personal,lyc personal model,lyc,available,0.466784765279008,0.4766944332931888,1129,"{""focus"": 513, ""unfocus"": 616}","{""focus"": 0.4543844109831709, ""unfocus"": 0.545615589016829}","[[219, 205], [397, 308]]",,
lyc_personal,lyc personal model,zyf,available,0.6793650793650794,0.5179511075248042,1260,"{""focus"": 1242, ""unfocus"": 18}","{""focus"": 0.9857142857142858, ""unfocus"": 0.0142857142857142}","[[16, 402], [2, 840]]",,
zyf_personal,zyf personal model,lyc,available,0.4579273693534101,0.5645473705339221,1129,"{""focus"": 99, ""unfocus"": 1030}","{""focus"": 0.0876882196634189, ""unfocus"": 0.912311780336581}","[[421, 3], [609, 96]]",,
zyf_personal,zyf personal model,zyf,available,0.4134920634920634,0.5214089261157644,1260,"{""focus"": 235, ""unfocus"": 1025}","{""focus"": 0.1865079365079365, ""unfocus"": 0.8134920634920635}","[[352, 66], [673, 169]]",,
author_common6,author-common6 model,lyc,available,0.3755535872453499,0.5,1129,"{""focus"": 0, ""unfocus"": 1129}","{""focus"": 0.0, ""unfocus"": 1.0}","[[424, 0], [705, 0]]",0.6469397993311038,
author_common6,author-common6 model,zyf,available,0.33174603174603173,0.5,1260,"{""focus"": 0, ""unfocus"": 1260}","{""focus"": 0.0, ""unfocus"": 1.0}","[[418, 0], [842, 0]]",0.6469397993311038,
our_common6_pooled,our-common6 model,lyc,available,0.4446412754650133,0.48293523350729295,1129,"{""focus"": 386, ""unfocus"": 743}","{""focus"": 0.34189548272807796, ""unfocus"": 0.6581045172719221}","[[270, 154], [473, 232]]",0.6950915725556757,
our_common6_pooled,our-common6 model,zyf,available,0.3603174603174603,0.46776869836002233,1260,"{""focus"": 214, ""unfocus"": 1046}","{""focus"": 0.16984126984126985, ""unfocus"": 0.8301587301587302}","[[329, 89], [717, 125]]",0.6950915725556757,
our_author_mixed_common6,mixed-common6 model,lyc,available,0.47475642161204606,0.5267897765288372,1129,"{""focus"": 336, ""unfocus"": 793}","{""focus"": 0.2976085031000886, ""unfocus"": 0.7023914968999114}","[[312, 112], [481, 224]]",0.6730519861544716,
our_author_mixed_common6,mixed-common6 model,zyf,available,0.5103174603174603,0.5577146006887225,1260,"{""focus"": 477, ""unfocus"": 783}","{""focus"": 0.37857142857142856, ""unfocus"": 0.6214285714285714}","[[292, 126], [491, 351]]",0.6730519861544716,
