fold,heldout_session_id,true_label_axis,predicted_label_axis,count
1,20260916_lyc_focus_01,unfocus,unfocus,0
1,20260916_lyc_focus_01,unfocus,focus,0
1,20260916_lyc_focus_01,focus,unfocus,6
1,20260916_lyc_focus_01,focus,focus,303
2,20260916_lyc_focus_02,unfocus,unfocus,0
2,20260916_lyc_focus_02,unfocus,focus,0
2,20260916_lyc_focus_02,focus,unfocus,2
2,20260916_lyc_focus_02,focus,focus,264
3,20260916_lyc_focus_03,unfocus,unfocus,0
3,20260916_lyc_focus_03,unfocus,focus,0
3,20260916_lyc_focus_03,focus,unfocus,0
3,20260916_lyc_focus_03,focus,focus,142
4,20260916_lyc_unfocus_01,unfocus,unfocus,310
4,20260916_lyc_unfocus_01,unfocus,focus,6
4,20260916_lyc_unfocus_01,focus,unfocus,0
4,20260916_lyc_unfocus_01,focus,focus,0
5,20260916_lyc_unfocus_02,unfocus,unfocus,285
5,20260916_lyc_unfocus_02,unfocus,focus,0
5,20260916_lyc_unfocus_02,focus,unfocus,0
5,20260916_lyc_unfocus_02,focus,focus,0
6,20260916_lyc_unfocus_03,unfocus,unfocus,320
6,20260916_lyc_unfocus_03,unfocus,focus,18
6,20260916_lyc_unfocus_03,focus,unfocus,0
6,20260916_lyc_unfocus_03,focus,focus,0
