window_index,start_s,end_s,predicted_label,focus_probability
0,30.0,34.0,unfocus,0.2602269975742852
1,32.0,36.0,unfocus,0.09059649897389836
2,34.0,38.0,unfocus,0.49479071007959685
3,36.0,40.0,focus,0.7475784068905553
4,38.0,42.0,focus,0.7478650814623464
5,40.0,44.0,unfocus,0.16779417110674
6,42.0,46.0,focus,0.6775495312594139
7,44.0,48.0,focus,0.9079667641067738
8,46.0,50.0,focus,0.950476167152633
9,48.0,52.0,focus,0.9930273321411958
10,50.0,54.0,focus,0.7886910557517387
11,52.0,56.0,unfocus,0.15898501774593232
12,54.0,58.0,unfocus,0.2335048239958798
13,56.0,60.0,focus,0.6687838923792757
14,58.0,62.0,focus,0.8316345020100459
15,60.0,64.0,focus,0.8926429992381596
16,62.0,66.0,unfocus,0.14094912266206577
17,64.0,68.0,unfocus,0.09816852694703036
18,66.0,70.0,focus,0.9038992909768989
19,68.0,72.0,focus,0.686233374214587
20,70.0,74.0,focus,0.5534474984426101
21,72.0,76.0,focus,0.58175460723029
22,74.0,78.0,focus,0.7644747559630609
23,76.0,80.0,focus,0.9266057440294487
24,78.0,82.0,focus,0.8973935074088808
25,80.0,84.0,focus,0.7429930784313588
26,82.0,86.0,focus,0.758479035646932
27,84.0,88.0,focus,0.9719082363746852
28,86.0,90.0,focus,0.7854649632360272
29,88.0,92.0,focus,0.934560323628534
30,90.0,94.0,focus,0.9715845885039425
31,92.0,96.0,focus,0.9425662932982544
32,94.0,98.0,focus,0.814408313479147
33,96.0,100.0,focus,0.8070566085386742
34,98.0,102.0,focus,0.6864933804794039
35,100.0,104.0,unfocus,0.3973467002562179
36,102.0,106.0,focus,0.9068227043197952
37,104.0,108.0,focus,0.9677271185947693
38,106.0,110.0,focus,0.962069265527877
39,108.0,112.0,focus,0.969991850327266
40,110.0,114.0,focus,0.7472590046672973
41,112.0,116.0,focus,0.9393881085383343
42,114.0,118.0,focus,0.9490343850441975
43,116.0,120.0,focus,0.96664954203666
44,118.0,122.0,focus,0.9941899961236048
45,120.0,124.0,focus,0.9393831403831104
46,122.0,126.0,focus,0.9754451707887014
47,124.0,128.0,focus,0.9764138172899394
48,126.0,130.0,focus,0.944391175742928
49,128.0,132.0,focus,0.5906100515883007
50,130.0,134.0,focus,0.568208398354011
51,132.0,136.0,focus,0.9493937584579215
52,134.0,138.0,focus,0.9828290837038183
53,136.0,140.0,focus,0.930547266839441
54,138.0,142.0,focus,0.9974298900124857
55,140.0,144.0,focus,0.9767239065123124
56,142.0,146.0,focus,0.9437495781138151
57,144.0,148.0,focus,0.9816189275261455
58,146.0,150.0,focus,0.8336075322852032
59,148.0,152.0,focus,0.7637094679964526
60,150.0,154.0,focus,0.9403016702285881
61,152.0,156.0,focus,0.8217332039759524
62,154.0,158.0,focus,0.9608383215757056
63,156.0,160.0,focus,0.811751558495525
64,158.0,162.0,focus,0.9798948424659528
65,160.0,164.0,focus,0.9539900336092889
66,162.0,166.0,focus,0.7189671139264318
67,164.0,168.0,unfocus,0.4159759287099806
68,166.0,170.0,focus,0.7968188671890439
69,168.0,172.0,unfocus,0.5057182988521978
70,170.0,174.0,focus,0.7182984114078026
71,172.0,176.0,focus,0.9328435246473765
72,174.0,178.0,focus,0.9716561755639872
73,176.0,180.0,focus,0.8301492419317404
74,178.0,182.0,focus,0.9170045831198264
75,180.0,184.0,focus,0.7974090680402154
76,182.0,186.0,focus,0.849184152357429
77,184.0,188.0,focus,0.9313589339002507
78,186.0,190.0,focus,0.9160214127642347
79,188.0,192.0,unfocus,0.4702650438005684
80,190.0,194.0,unfocus,0.4555012047480315
81,192.0,196.0,unfocus,0.4553952201653736
82,194.0,198.0,focus,0.819887412701368
83,196.0,200.0,focus,0.9870511907985605
84,198.0,202.0,focus,0.986041685062172
85,200.0,204.0,focus,0.9380036582170699
86,202.0,206.0,focus,0.9838235199777389
87,204.0,208.0,focus,0.9953549729492975
88,206.0,210.0,focus,0.9755778448225797
89,208.0,212.0,focus,0.9961939005635498
90,210.0,214.0,focus,0.9680007065981922
91,212.0,216.0,focus,0.9979562511274447
92,214.0,218.0,focus,0.9932091876461375
93,216.0,220.0,focus,0.985179460673747
94,218.0,222.0,focus,0.9992337559125299
95,220.0,224.0,focus,0.9990614435999786
96,222.0,226.0,focus,0.9994477226789071
97,224.0,228.0,focus,0.9995912054706442
98,226.0,230.0,focus,0.9578777475139719
99,228.0,232.0,unfocus,0.5
100,230.0,234.0,unfocus,0.1259161387687214
101,232.0,236.0,focus,0.7850482821927095
102,234.0,238.0,unfocus,0.48406670331984286
103,236.0,240.0,focus,0.9301390299891152
104,238.0,242.0,focus,0.5514567884700111
105,240.0,244.0,focus,0.9471602669147591
106,242.0,246.0,focus,0.7230478666211471
107,244.0,248.0,focus,0.7801254533328603
108,246.0,250.0,focus,0.8596368030068302
109,248.0,252.0,focus,0.81324603288428
110,250.0,254.0,focus,0.6789809100687199
111,252.0,256.0,focus,0.8050298144717388
112,254.0,258.0,focus,0.6130784955114146
113,256.0,260.0,focus,0.8212979237690756
114,258.0,262.0,focus,0.7067940186040809
115,260.0,264.0,unfocus,0.5
116,262.0,266.0,focus,0.6250954224579861
117,264.0,268.0,focus,0.8725623391447821
118,266.0,270.0,focus,0.8051956737582793
119,268.0,272.0,unfocus,0.4550069783544501
120,270.0,274.0,unfocus,0.4114688174804339
121,272.0,276.0,unfocus,0.522957428305366
122,274.0,278.0,focus,0.9073478522431887
123,276.0,280.0,focus,0.7679026679000227
124,278.0,282.0,focus,0.7638874103362134
125,280.0,284.0,focus,0.9862582973779841
126,282.0,286.0,focus,0.9946369546107873
127,284.0,288.0,focus,0.9933333389279104
128,286.0,290.0,focus,0.8006874912086267
129,288.0,292.0,focus,0.7564614934308541
130,290.0,294.0,focus,0.9699830439018089
131,292.0,296.0,focus,0.9326375681440442
132,294.0,298.0,focus,0.7620353447683919
133,296.0,300.0,focus,0.7558422491203555
134,298.0,302.0,focus,0.9367589230278046
135,300.0,304.0,focus,0.5950885877751305
136,302.0,306.0,focus,0.6972872402547421
137,304.0,308.0,focus,0.8662124514636977
138,306.0,310.0,focus,0.9970808342332835
139,308.0,312.0,focus,0.9945235101354717
140,310.0,314.0,focus,0.9937896787474253
141,312.0,316.0,focus,0.5510668182580484
142,314.0,318.0,focus,0.9278649003215819
143,316.0,320.0,focus,0.7594213680951067
144,318.0,322.0,focus,0.680827051593585
145,320.0,324.0,focus,0.8473991120068437
146,322.0,326.0,focus,0.5773326662150159
147,324.0,328.0,focus,0.9526938893508192
148,326.0,330.0,focus,0.9948339699790677
149,328.0,332.0,focus,0.9579153245424646
150,330.0,334.0,focus,0.7925563886650885
151,332.0,336.0,focus,0.9610523804970931
152,334.0,338.0,focus,0.9954517736290127
153,336.0,340.0,focus,0.9390722866320628
154,338.0,342.0,focus,0.9261170518041152
155,340.0,344.0,unfocus,0.29833122440444776
156,342.0,346.0,focus,0.8797880617666898
157,344.0,348.0,focus,0.9977928735540462
158,346.0,350.0,focus,0.9984429666118994
159,348.0,352.0,focus,0.5753086258474543
160,350.0,354.0,focus,0.9004447699612125
161,352.0,356.0,focus,0.73674599482925
162,354.0,358.0,focus,0.9965245484353571
163,356.0,360.0,focus,0.9562662547051632
164,358.0,362.0,focus,0.9395049272146249
165,360.0,364.0,focus,0.9631636670335683
166,362.0,366.0,focus,0.7386473893957051
167,364.0,368.0,focus,0.9982838262606802
168,366.0,370.0,focus,0.9891406617477441
169,368.0,372.0,focus,0.9943716188993387
170,370.0,374.0,focus,0.858687505180667
171,372.0,376.0,focus,0.9978956856499168
172,374.0,378.0,focus,0.9846336433569185
173,376.0,380.0,focus,0.9453749768056533
174,378.0,382.0,focus,0.9921362275342871
175,380.0,384.0,focus,0.9835060564752102
176,382.0,386.0,focus,0.989530718171478
177,384.0,388.0,focus,0.8322327549005045
178,386.0,390.0,focus,0.9587144060740515
179,388.0,392.0,focus,0.998509518677655
180,390.0,394.0,focus,0.9900155048338183
181,392.0,396.0,focus,0.9880411502237674
182,394.0,398.0,focus,0.9714132763960515
183,396.0,400.0,focus,0.9873061997265026
184,398.0,402.0,focus,0.9809729659370012
185,400.0,404.0,focus,0.8550616344246854
186,402.0,406.0,focus,0.990365304994829
187,404.0,408.0,focus,0.9668797343440688
188,406.0,410.0,focus,0.9743616134225033
189,408.0,412.0,focus,0.9915076278296906
190,410.0,414.0,focus,0.911919672063632
191,412.0,416.0,focus,0.9697011839942039
192,414.0,418.0,focus,0.9795244100298145
193,416.0,420.0,focus,0.9317541455847325
194,418.0,422.0,focus,0.9945769933412947
195,420.0,424.0,focus,0.9867940934400893
196,422.0,426.0,focus,0.9311567531970854
197,424.0,428.0,focus,0.8698452578252603
198,426.0,430.0,focus,0.9659987637054952
199,428.0,432.0,focus,0.9915382648251921
200,430.0,434.0,focus,0.9941492316045901
201,432.0,436.0,focus,0.9995900945197779
202,434.0,438.0,focus,0.9965255122928014
203,436.0,440.0,focus,0.9972002226532618
204,438.0,442.0,focus,0.9970870703055136
205,440.0,444.0,focus,0.9987237320037899
206,442.0,446.0,focus,0.927737027375638
207,444.0,448.0,focus,0.9756113460073613
208,446.0,450.0,focus,0.9962773754120241
209,448.0,452.0,focus,0.9915247184243171
210,450.0,454.0,focus,0.8041095696460606
211,452.0,456.0,focus,0.9875820972363564
212,454.0,458.0,focus,0.9933527350730873
213,456.0,460.0,focus,0.9996910799547103
214,458.0,462.0,focus,0.9285007963355927
215,460.0,464.0,focus,0.7700209440566964
216,462.0,466.0,focus,0.9709747814795953
217,464.0,468.0,focus,0.9682898201723041
218,466.0,470.0,focus,0.972103229554729
219,468.0,472.0,focus,0.9916143698478922
220,470.0,474.0,focus,0.9785192119290117
221,472.0,476.0,focus,0.9935431622753548
222,474.0,478.0,focus,0.9344782991173359
223,476.0,480.0,focus,0.8933001422057316
224,478.0,482.0,focus,0.9221672038119115
225,480.0,484.0,focus,0.9933254293408194
226,482.0,486.0,focus,0.9980195198392051
227,484.0,488.0,focus,0.8207737335156386
228,486.0,490.0,focus,0.8782235851279852
229,488.0,492.0,unfocus,0.4873248349441131
230,490.0,494.0,focus,0.9987249724318727
231,492.0,496.0,focus,0.988694237360887
232,494.0,498.0,unfocus,0.3548733248966434
233,496.0,500.0,focus,0.9813926335651469
234,498.0,502.0,focus,0.9983748936447159
235,500.0,504.0,focus,0.9881569864448372
236,502.0,506.0,focus,0.5529385846885663
237,504.0,508.0,focus,0.990226384131013
238,506.0,510.0,focus,0.9094836048617746
239,508.0,512.0,focus,0.9798143902124032
240,510.0,514.0,focus,0.9941655423806629
241,512.0,516.0,focus,0.9813262591158723
242,514.0,518.0,focus,0.9858823623677138
243,516.0,520.0,focus,0.7034652816828647
244,518.0,522.0,focus,0.9566936407976969
245,520.0,524.0,focus,0.9998596424841037
246,522.0,526.0,focus,0.9997620419027459
247,524.0,528.0,focus,0.9997972058352635
248,526.0,530.0,focus,0.9984344234767253
249,528.0,532.0,focus,0.9975142678016866
250,530.0,534.0,focus,0.6642695192367926
251,532.0,536.0,focus,0.9885290486259515
252,534.0,538.0,focus,0.9987413777827043
