window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.024970749699668116
1,2.0,6.0,unfocus,6.898602312111571e-07
2,4.0,8.0,unfocus,5.236763041063057e-07
3,6.0,10.0,unfocus,2.3561737918562934e-06
4,8.0,12.0,unfocus,1.1916437207841843e-06
5,10.0,14.0,unfocus,7.660881399115417e-06
6,12.0,16.0,unfocus,0.005559550735250578
7,14.0,18.0,unfocus,0.0055417908834764565
8,16.0,20.0,unfocus,0.0038635134684412114
9,18.0,22.0,unfocus,9.814129953007165e-07
10,20.0,24.0,unfocus,0.005690627759513539
11,22.0,26.0,unfocus,0.005885170974393066
12,24.0,28.0,unfocus,0.003960268765691609
13,26.0,30.0,unfocus,0.003922393910178651
14,28.0,32.0,unfocus,0.011744807050492781
15,30.0,34.0,unfocus,6.230928975208336e-06
16,32.0,36.0,unfocus,0.004365538451290123
17,34.0,38.0,unfocus,1.6663210776034856e-05
18,36.0,40.0,unfocus,5.653474961816062e-06
19,38.0,42.0,unfocus,0.008185838399270746
20,40.0,44.0,unfocus,0.039984483915961405
21,42.0,46.0,unfocus,0.0198267574414707
22,44.0,48.0,unfocus,4.121671161962216e-06
23,46.0,50.0,unfocus,2.5845855202030497e-06
24,48.0,52.0,unfocus,3.856095133610457e-07
25,50.0,54.0,unfocus,7.124098937165888e-06
26,52.0,56.0,unfocus,1.9133945498540202e-07
27,54.0,58.0,unfocus,1.9143386153266643e-07
28,56.0,60.0,unfocus,1.7492939736400937e-07
29,58.0,62.0,unfocus,0.005510008517483517
30,60.0,64.0,unfocus,0.003337730332407294
31,62.0,66.0,unfocus,1.1784642356715171e-06
32,64.0,68.0,unfocus,1.381305533288639e-07
33,66.0,70.0,unfocus,2.438039878424665e-06
34,68.0,72.0,unfocus,4.806230710916618e-06
35,70.0,74.0,unfocus,5.569673933009272e-06
36,72.0,76.0,unfocus,0.003044510364167584
37,74.0,78.0,unfocus,0.005780865250664366
38,76.0,80.0,unfocus,0.012703616038087269
39,78.0,82.0,unfocus,0.005698056194527176
40,80.0,84.0,unfocus,3.164745349324277e-06
41,82.0,86.0,unfocus,1.1016567388770088e-06
42,84.0,88.0,unfocus,0.0028415136706846276
43,86.0,90.0,unfocus,0.004665062449329258
44,88.0,92.0,unfocus,1.226681243065946e-05
45,90.0,94.0,unfocus,8.192358241219586e-06
46,92.0,96.0,unfocus,0.010378761423958665
47,94.0,98.0,unfocus,0.005236176616441437
48,96.0,100.0,unfocus,0.004316961902533129
49,98.0,102.0,unfocus,1.0252554375506009e-05
50,100.0,104.0,unfocus,0.005797430497955369
51,102.0,106.0,unfocus,0.004789752708895926
52,104.0,108.0,unfocus,0.0031305347451164693
53,106.0,110.0,unfocus,0.004371038776642485
54,108.0,112.0,unfocus,0.007073566562726818
55,110.0,114.0,unfocus,0.0035197026891346057
56,112.0,116.0,unfocus,0.002847799288044378
57,114.0,118.0,unfocus,1.0295341146002481e-06
58,116.0,120.0,unfocus,3.839385332440223e-06
59,118.0,122.0,unfocus,1.5152447132850732e-06
60,120.0,124.0,unfocus,2.3169219937557637e-06
61,122.0,126.0,unfocus,0.007132076346516269
62,124.0,128.0,unfocus,0.0032574601217975987
63,126.0,130.0,unfocus,1.4950186802922722e-06
64,128.0,132.0,unfocus,1.0769537179925833e-05
65,130.0,134.0,unfocus,1.9639332430171916e-07
66,132.0,136.0,unfocus,6.508258599288508e-07
67,134.0,138.0,unfocus,1.1523770972293338e-06
68,136.0,140.0,unfocus,5.874729523441013e-06
69,138.0,142.0,unfocus,0.0039218969567160755
70,140.0,144.0,unfocus,0.004527931658514045
71,142.0,146.0,unfocus,4.6789971077637124e-07
72,144.0,148.0,unfocus,4.409039410803329e-08
73,146.0,150.0,unfocus,4.289092509903109e-06
74,148.0,152.0,unfocus,1.8728526390689793e-05
75,150.0,154.0,unfocus,7.392821528587522e-07
76,152.0,156.0,unfocus,8.300394029243992e-06
77,154.0,158.0,unfocus,0.0038126169808870283
78,156.0,160.0,unfocus,2.3317898437900153e-06
79,158.0,162.0,unfocus,6.9429895508604515e-06
80,160.0,164.0,unfocus,0.012107731588450951
81,162.0,166.0,unfocus,0.0026172463520992223
82,164.0,168.0,unfocus,3.786739850974003e-06
83,166.0,170.0,unfocus,9.317042758834036e-06
84,168.0,172.0,unfocus,0.0033572713122190716
85,170.0,174.0,unfocus,9.420185702669782e-06
86,172.0,176.0,unfocus,1.7027540767270404e-06
87,174.0,178.0,unfocus,0.002777760241898189
88,176.0,180.0,unfocus,0.007672860862524395
89,178.0,182.0,unfocus,0.012522472256838214
90,180.0,184.0,unfocus,1.3387621003951977e-05
91,182.0,186.0,unfocus,1.9826249190688788e-07
92,184.0,188.0,unfocus,0.004298808319007067
93,186.0,190.0,unfocus,0.006097191910719951
94,188.0,192.0,unfocus,0.003919578468766606
95,190.0,194.0,unfocus,7.598383501783356e-07
96,192.0,196.0,unfocus,0.002981428074537049
97,194.0,198.0,unfocus,0.003483955985120026
98,196.0,200.0,unfocus,1.8105453962452563e-05
99,198.0,202.0,unfocus,1.1160091133981177e-05
100,200.0,204.0,unfocus,6.520951683436323e-06
101,202.0,206.0,unfocus,0.31948640080129354
102,204.0,208.0,unfocus,0.05646997935992749
103,206.0,210.0,unfocus,4.341790436186477e-08
104,208.0,212.0,unfocus,0.004071642913896239
105,210.0,214.0,unfocus,4.927161983785005e-07
106,212.0,216.0,unfocus,1.6230936610519673e-06
107,214.0,218.0,unfocus,0.009182626833886601
108,216.0,220.0,unfocus,0.009138819230671252
109,218.0,222.0,unfocus,4.922483527816951e-07
110,220.0,224.0,unfocus,8.856860312577801e-07
111,222.0,226.0,unfocus,5.807368893529369e-06
112,224.0,228.0,unfocus,3.4727233165179577e-07
113,226.0,230.0,unfocus,6.434027718530569e-07
114,228.0,232.0,unfocus,1.129509919025143e-06
115,230.0,234.0,unfocus,4.0424814228011154e-07
116,232.0,236.0,unfocus,5.3176239171363435e-06
117,234.0,238.0,unfocus,0.00260817162795042
118,236.0,240.0,unfocus,7.66045524924888e-06
119,238.0,242.0,unfocus,0.004274598722531477
120,240.0,244.0,unfocus,8.058775321764611e-07
121,242.0,246.0,unfocus,2.3472450908996634e-06
122,244.0,248.0,unfocus,0.013991701440115308
123,246.0,250.0,unfocus,0.006941351024926626
124,248.0,252.0,unfocus,1.9480000242728597e-06
125,250.0,254.0,unfocus,4.60028727170774e-06
126,252.0,256.0,unfocus,3.854406764371178e-06
127,254.0,258.0,unfocus,3.6108569713500384e-06
128,256.0,260.0,unfocus,0.004495145737854902
129,258.0,262.0,unfocus,6.969959456339181e-06
