window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.16545464178095245
1,2.0,6.0,unfocus,0.28421002858885025
2,4.0,8.0,unfocus,0.031162852903671517
3,6.0,10.0,unfocus,0.022278859229531954
4,8.0,12.0,unfocus,0.006724798792957902
5,10.0,14.0,unfocus,3.2074530653652644e-06
6,12.0,16.0,unfocus,0.07002739775935138
7,14.0,18.0,unfocus,0.09196702899524947
8,16.0,20.0,unfocus,1.7223799190786307e-05
9,18.0,22.0,unfocus,1.2832972134581801e-07
10,20.0,24.0,unfocus,1.209531877196649e-06
11,22.0,26.0,unfocus,5.79642284930339e-06
12,24.0,28.0,unfocus,0.0035562278902353927
13,26.0,30.0,unfocus,0.006886158464684463
14,28.0,32.0,unfocus,0.0034643400753927955
15,30.0,34.0,unfocus,1.1176559909789439e-05
16,32.0,36.0,unfocus,0.31551187556506566
17,34.0,38.0,unfocus,0.018613668476067505
18,36.0,40.0,unfocus,4.811413257994352e-06
19,38.0,42.0,unfocus,2.9892083764608054e-06
20,40.0,44.0,unfocus,1.1166258830437294e-05
21,42.0,46.0,unfocus,0.0031276815182301842
22,44.0,48.0,unfocus,1.0418932322299501e-05
23,46.0,50.0,unfocus,3.2787133311297837e-07
24,48.0,52.0,unfocus,9.435745511987908e-10
25,50.0,54.0,unfocus,5.5373315252779505e-09
26,52.0,56.0,unfocus,1.3994543285341942e-07
27,54.0,58.0,unfocus,1.2815739550271475e-07
28,56.0,60.0,unfocus,0.008434073075288722
29,58.0,62.0,unfocus,0.007728935746671798
30,60.0,64.0,unfocus,0.008983504215628631
31,62.0,66.0,unfocus,1.5212847211346233e-07
32,64.0,68.0,unfocus,0.04315566994898806
33,66.0,70.0,unfocus,0.0037750623126133675
34,68.0,72.0,unfocus,0.0033266365479037037
35,70.0,74.0,unfocus,0.07744825684873595
36,72.0,76.0,unfocus,0.005196758252194834
37,74.0,78.0,unfocus,0.036590806503146084
38,76.0,80.0,unfocus,0.03371116741757416
39,78.0,82.0,unfocus,0.00337717472937675
40,80.0,84.0,unfocus,0.01927436321066492
41,82.0,86.0,unfocus,2.0593278440999263e-06
42,84.0,88.0,unfocus,2.2177618409111515e-06
43,86.0,90.0,unfocus,1.1205273354832345e-06
44,88.0,92.0,unfocus,0.01164370486938125
45,90.0,94.0,unfocus,3.993204008646407e-07
46,92.0,96.0,unfocus,0.011054808722766572
47,94.0,98.0,unfocus,0.0040688206746368446
48,96.0,100.0,unfocus,0.005991668347206098
49,98.0,102.0,unfocus,0.003288412778507106
50,100.0,104.0,unfocus,0.17939249696059267
51,102.0,106.0,unfocus,0.25039673221584385
52,104.0,108.0,unfocus,3.144429929256254e-06
53,106.0,110.0,unfocus,0.0029415127002830766
54,108.0,112.0,unfocus,0.004004450521168354
55,110.0,114.0,unfocus,0.008557547021809648
56,112.0,116.0,unfocus,0.015365801966461656
57,114.0,118.0,unfocus,0.005514554264608335
58,116.0,120.0,unfocus,1.9058118463100433e-05
59,118.0,122.0,unfocus,9.007051347734992e-07
60,120.0,124.0,unfocus,0.0026247686372634555
61,122.0,126.0,unfocus,0.031976059846133054
62,124.0,128.0,unfocus,0.053391773517248574
63,126.0,130.0,unfocus,7.938992191447638e-07
64,128.0,132.0,unfocus,0.004319575525866062
65,130.0,134.0,unfocus,0.14468075948280157
66,132.0,136.0,unfocus,1.5865046334639989e-06
