window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,unfocus,0.010048860171708605
1,2.0,6.0,unfocus,1.6302902278976888e-06
2,4.0,8.0,unfocus,7.145004734889579e-07
3,6.0,10.0,unfocus,0.003425023081237961
4,8.0,12.0,unfocus,0.005737214620683395
5,10.0,14.0,unfocus,0.03413624967272204
6,12.0,16.0,unfocus,3.4457520111873076e-06
7,14.0,18.0,unfocus,2.2271320737393564e-06
8,16.0,20.0,unfocus,3.4608972599223677e-06
9,18.0,22.0,unfocus,0.004974439303518199
10,20.0,24.0,unfocus,0.08419367192050378
11,22.0,26.0,unfocus,4.856085516610822e-07
12,24.0,28.0,unfocus,1.1811896432802006e-05
13,26.0,30.0,unfocus,0.1222732675421911
14,28.0,32.0,unfocus,0.23073173721985413
15,30.0,34.0,unfocus,0.06728823721758911
16,32.0,36.0,unfocus,0.5262983971287029
17,34.0,38.0,unfocus,0.008685194070447428
18,36.0,40.0,unfocus,0.06069306690117805
19,38.0,42.0,unfocus,0.044341771830979294
20,40.0,44.0,unfocus,0.03343926878463173
21,42.0,46.0,unfocus,0.006773793758506179
22,44.0,48.0,unfocus,5.238936951497062e-08
23,46.0,50.0,unfocus,0.0027776391718000964
24,48.0,52.0,unfocus,1.39542811783397e-06
25,50.0,54.0,unfocus,0.010316847301823766
26,52.0,56.0,unfocus,0.0049496609680890905
27,54.0,58.0,unfocus,0.00788666353681004
28,56.0,60.0,unfocus,3.5131213637758847e-06
29,58.0,62.0,unfocus,0.027095259303190605
30,60.0,64.0,unfocus,0.016891437982727124
31,62.0,66.0,unfocus,0.033473998581591786
32,64.0,68.0,unfocus,0.08065292782815128
33,66.0,70.0,unfocus,0.011828818495350125
34,68.0,72.0,unfocus,0.030707558644949978
35,70.0,74.0,unfocus,0.06754735313644226
36,72.0,76.0,unfocus,0.0038725485241588075
37,74.0,78.0,unfocus,0.018393499953629915
38,76.0,80.0,unfocus,0.03512265485731784
39,78.0,82.0,unfocus,0.0248193563076693
40,80.0,84.0,unfocus,0.00295228292636521
41,82.0,86.0,unfocus,6.6074675463596e-07
42,84.0,88.0,unfocus,0.004370670016693801
43,86.0,90.0,unfocus,1.0514910522765276e-06
44,88.0,92.0,unfocus,0.002796098014289446
45,90.0,94.0,unfocus,4.6597917978303415e-08
46,92.0,96.0,unfocus,7.018617006785589e-08
47,94.0,98.0,unfocus,1.6014195604673372e-08
48,96.0,100.0,unfocus,5.233758093540227e-09
49,98.0,102.0,unfocus,0.007918295131697128
50,100.0,104.0,unfocus,0.005647468482090107
51,102.0,106.0,unfocus,0.004399602657226767
52,104.0,108.0,unfocus,0.010666323729233243
53,106.0,110.0,unfocus,0.007814067661734442
54,108.0,112.0,unfocus,0.012268711049351327
55,110.0,114.0,unfocus,0.00443967921586479
56,112.0,116.0,unfocus,0.0072076356036427204
57,114.0,118.0,unfocus,7.785877601300898e-06
58,116.0,120.0,unfocus,3.47464236435443e-06
59,118.0,122.0,unfocus,3.682201780480723e-06
60,120.0,124.0,unfocus,4.304086671999269e-06
61,122.0,126.0,unfocus,0.0028148218748090975
62,124.0,128.0,unfocus,0.004920142865463849
63,126.0,130.0,unfocus,0.010864789025987457
64,128.0,132.0,unfocus,0.006337637273413795
65,130.0,134.0,unfocus,0.003884519222941846
66,132.0,136.0,unfocus,1.1155893346747503e-05
67,134.0,138.0,unfocus,0.007944953268483589
68,136.0,140.0,unfocus,0.00546722536363724
69,138.0,142.0,unfocus,0.01967450780449305
70,140.0,144.0,unfocus,0.026899127248641134
71,142.0,146.0,unfocus,0.010889662234903206
72,144.0,148.0,unfocus,0.003958538461467308
73,146.0,150.0,unfocus,0.0025349300389241676
74,148.0,152.0,unfocus,0.006020180541695464
75,150.0,154.0,unfocus,1.871718445912009e-05
76,152.0,156.0,unfocus,0.007264411397143959
77,154.0,158.0,unfocus,0.00840033088278661
78,156.0,160.0,unfocus,0.003563946503351101
79,158.0,162.0,unfocus,0.0029009771780456814
80,160.0,164.0,unfocus,6.320588262306484e-06
81,162.0,166.0,unfocus,1.5886024696424725e-05
82,164.0,168.0,unfocus,0.005458575037058207
83,166.0,170.0,unfocus,4.000797333121867e-06
84,168.0,172.0,unfocus,0.007146301475887514
85,170.0,174.0,unfocus,0.008891179033535335
86,172.0,176.0,unfocus,0.009001312476454014
87,174.0,178.0,unfocus,0.0056566982869257505
88,176.0,180.0,unfocus,0.016239509994728257
89,178.0,182.0,unfocus,0.009639232948542882
90,180.0,184.0,unfocus,4.242524052235196e-06
91,182.0,186.0,unfocus,6.9932311692185854e-06
92,184.0,188.0,unfocus,0.012147341027193675
93,186.0,190.0,unfocus,0.46560299780191716
94,188.0,192.0,unfocus,0.5080170247623889
95,190.0,194.0,unfocus,0.03427809500786366
96,192.0,196.0,unfocus,0.004855456731553885
97,194.0,198.0,unfocus,0.002692419792558627
98,196.0,200.0,unfocus,0.009018989898434117
99,198.0,202.0,unfocus,0.023121377389561815
100,200.0,204.0,unfocus,0.15971220314834111
101,202.0,206.0,unfocus,0.0050130103589867345
102,204.0,208.0,unfocus,0.007313343054236083
103,206.0,210.0,unfocus,0.1074815125082201
104,208.0,212.0,unfocus,0.04343057001757062
105,210.0,214.0,unfocus,0.005368854610792054
106,212.0,216.0,unfocus,0.007014736177668117
107,214.0,218.0,unfocus,0.00632438337243626
108,216.0,220.0,unfocus,1.2886770807547857e-05
109,218.0,222.0,unfocus,0.03459408726572578
110,220.0,224.0,unfocus,0.014952756946146038
111,222.0,226.0,unfocus,0.013581271251580032
112,224.0,228.0,unfocus,0.004194444178671246
113,226.0,230.0,unfocus,0.10595242583821318
114,228.0,232.0,unfocus,0.03486984147571048
115,230.0,234.0,unfocus,0.11258626705422645
116,232.0,236.0,unfocus,0.04365457493572551
117,234.0,238.0,unfocus,0.06968240100422325
118,236.0,240.0,unfocus,0.009052850023092748
119,238.0,242.0,unfocus,0.005209441194843639
120,240.0,244.0,unfocus,0.006581036642007205
121,242.0,246.0,unfocus,0.01986700994321288
122,244.0,248.0,unfocus,0.04882898798667287
123,246.0,250.0,focus,0.544236610973559
124,248.0,252.0,unfocus,0.037589390978916885
125,250.0,254.0,unfocus,1.2467590547285065e-05
126,252.0,256.0,unfocus,7.278718197775769e-07
127,254.0,258.0,unfocus,0.016031922900797895
128,256.0,260.0,unfocus,0.23418000219716148
129,258.0,262.0,unfocus,0.23125070991019317
130,260.0,264.0,unfocus,0.17706447675452988
131,262.0,266.0,unfocus,0.27563577910520565
132,264.0,268.0,unfocus,0.08233851251172206
133,266.0,270.0,unfocus,0.0356592197691762
134,268.0,272.0,unfocus,0.09301265385571487
135,270.0,274.0,unfocus,0.022272376376490047
136,272.0,276.0,unfocus,0.025949631708337608
137,274.0,278.0,unfocus,0.01853490862287012
138,276.0,280.0,unfocus,0.05446157646868563
139,278.0,282.0,unfocus,0.01818619812179914
140,280.0,284.0,unfocus,0.13371271153910066
141,282.0,286.0,unfocus,0.22471402480211977
142,284.0,288.0,unfocus,0.013769807620189044
143,286.0,290.0,unfocus,0.012585288447563205
144,288.0,292.0,unfocus,0.004774671948733787
145,290.0,294.0,focus,0.5549627366722936
146,292.0,296.0,unfocus,0.5132198486841654
147,294.0,298.0,unfocus,0.12838346847539653
148,296.0,300.0,unfocus,0.4186012223970897
149,298.0,302.0,unfocus,0.03306233134417398
150,300.0,304.0,unfocus,0.15519998017464703
151,302.0,306.0,unfocus,0.08072720700930891
152,304.0,308.0,unfocus,0.05080630969441313
153,306.0,310.0,unfocus,0.06800641889381437
154,308.0,312.0,focus,0.5625489554564158
155,310.0,314.0,unfocus,0.033893158324436255
156,312.0,316.0,unfocus,0.06361168000855699
157,314.0,318.0,unfocus,1.8385940689816794e-06
158,316.0,320.0,unfocus,2.6671300488072546e-07
