window_index,start_s,end_s,predicted_label,focus_probability
0,0.0,4.0,focus,0.985939705658514
1,2.0,6.0,focus,0.9240625701865588
2,4.0,8.0,focus,0.9998581187743626
3,6.0,10.0,focus,0.9984616275442287
4,8.0,12.0,focus,0.9797654076006774
5,10.0,14.0,focus,0.9937103555809611
6,12.0,16.0,focus,0.9879361882939854
7,14.0,18.0,focus,0.968695020002587
8,16.0,20.0,focus,0.7700780469871616
9,18.0,22.0,focus,0.8127548647498594
10,20.0,24.0,focus,0.9958863015217323
11,22.0,26.0,focus,0.9950704124514544
12,24.0,28.0,focus,0.9608244216984752
13,26.0,30.0,focus,0.9334183956062791
14,28.0,32.0,focus,0.9709947503213876
15,30.0,34.0,focus,0.8214828056449845
16,32.0,36.0,unfocus,0.35031783357603125
17,34.0,38.0,focus,0.9150488111768832
18,36.0,40.0,focus,0.9940059375268377
19,38.0,42.0,focus,0.999878043005126
20,40.0,44.0,focus,0.9996504753449224
21,42.0,46.0,focus,0.9994098116400478
22,44.0,48.0,focus,0.9924878226814966
23,46.0,50.0,focus,0.9990481802378052
24,48.0,52.0,focus,0.9970868117555687
25,50.0,54.0,focus,0.996496877741493
26,52.0,56.0,focus,0.7397291272213704
27,54.0,58.0,focus,0.9601645043912604
28,56.0,60.0,focus,0.9727692822051173
29,58.0,62.0,focus,0.985396179944427
30,60.0,64.0,focus,0.9951063068094709
31,62.0,66.0,focus,0.9566275475427811
32,64.0,68.0,focus,0.9930436696712905
33,66.0,70.0,focus,0.9996060968330329
34,68.0,72.0,focus,0.9999417570714928
35,70.0,74.0,focus,0.9945045313323022
36,72.0,76.0,focus,0.9979611627578946
37,74.0,78.0,focus,0.9998357184604585
38,76.0,80.0,focus,0.9999544832581077
39,78.0,82.0,focus,0.9951332359346778
40,80.0,84.0,focus,0.9744088446484145
41,82.0,86.0,focus,0.7520093326517133
42,84.0,88.0,focus,0.8072869809086965
43,86.0,90.0,unfocus,0.3852349349351487
44,88.0,92.0,focus,0.9831617177782029
45,90.0,94.0,focus,0.9949350370850435
46,92.0,96.0,focus,0.9470534277346855
47,94.0,98.0,focus,0.8093832549199654
48,96.0,100.0,focus,0.5542893299273273
49,98.0,102.0,focus,0.939634037458856
50,100.0,104.0,focus,0.9980932866114912
51,102.0,106.0,focus,0.9685273611437942
52,104.0,108.0,focus,0.9977114576122088
53,106.0,110.0,focus,0.9837874381200817
54,108.0,112.0,focus,0.9959572674429265
55,110.0,114.0,focus,0.9956670449063463
56,112.0,116.0,focus,0.9941514098418179
57,114.0,118.0,focus,0.997621076659816
58,116.0,120.0,focus,0.9819692242025478
59,118.0,122.0,focus,0.9885531561788201
60,120.0,124.0,focus,0.998748181063804
61,122.0,126.0,focus,0.9997896174038529
62,124.0,128.0,focus,0.9853472335362199
63,126.0,130.0,focus,0.9993952347527768
64,128.0,132.0,focus,0.9999952701815007
65,130.0,134.0,focus,0.9956637509360635
66,132.0,136.0,focus,0.9476042919829037
67,134.0,138.0,focus,0.9967767209333532
68,136.0,140.0,focus,0.986008858035237
69,138.0,142.0,focus,0.9982100771108882
70,140.0,144.0,focus,0.9426333954302164
71,142.0,146.0,focus,0.9485313808752539
72,144.0,148.0,focus,0.9972114858815836
73,146.0,150.0,focus,0.9959906942042462
74,148.0,152.0,focus,0.9938135748467671
75,150.0,154.0,focus,0.9993775613124336
76,152.0,156.0,focus,0.9983803360272396
77,154.0,158.0,focus,0.9986364100546578
78,156.0,160.0,focus,0.999899286574658
79,158.0,162.0,focus,0.9950607504315867
80,160.0,164.0,focus,0.9992471148729005
81,162.0,166.0,focus,0.9984116564643181
82,164.0,168.0,focus,0.9990510798115814
83,166.0,170.0,focus,0.9989578781696035
84,168.0,172.0,focus,0.9998572109626299
85,170.0,174.0,focus,0.9997404858194868
86,172.0,176.0,focus,0.9995426253390411
87,174.0,178.0,focus,0.999052863441093
88,176.0,180.0,focus,0.9732374357894166
89,178.0,182.0,focus,0.9968570707623445
90,180.0,184.0,focus,0.9992187294379502
91,182.0,186.0,focus,0.9979185636465617
92,184.0,188.0,focus,0.9912365796056279
93,186.0,190.0,focus,0.9390179070203568
94,188.0,192.0,focus,0.9235116961953326
95,190.0,194.0,focus,0.9796032466278294
96,192.0,196.0,focus,0.9967322437230766
97,194.0,198.0,focus,0.99173209737658
98,196.0,200.0,focus,0.9978272206375995
99,198.0,202.0,focus,0.9998309644514751
100,200.0,204.0,focus,0.9996026135470344
101,202.0,206.0,focus,0.9987645429302466
102,204.0,208.0,focus,0.9972262975508477
103,206.0,210.0,focus,0.9852752787592165
104,208.0,212.0,focus,0.9919174238561422
105,210.0,214.0,focus,0.9998921393775676
106,212.0,216.0,focus,0.9991657253443633
