subject,timestamp,filename,filename_label,canonical_label,label_source,label_conflict,label_conflict_note,feedback_round,feedback_seen_before_recording,model_id,feature_dimension,window_count,accuracy,predicted_focus_count,predicted_focus_proportion,predicted_unfocus_count,predicted_unfocus_proportion,target_class_proportion,duration_s,sampling_rate_hz,processing_sampling_rate_hz,paired_files_complete
lyc,2026-09-14T16:41:00+08:00,lyc_focus_202609141641_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,467,0.5781584582441114,270,0.5781584582441114,197,0.42184154175588867,0.5781584582441114,937.5,300.0,128.0,true
lyc,2026-09-14T16:41:00+08:00,lyc_focus_202609141641_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,467,0.44967880085653106,210,0.44967880085653106,257,0.550321199143469,0.44967880085653106,937.5,300.0,128.0,true
lyc,2026-09-14T16:41:00+08:00,lyc_focus_202609141641_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,467,0.6788008565310493,317,0.6788008565310493,150,0.32119914346895073,0.6788008565310493,937.5,300.0,128.0,true
lyc,2026-09-14T17:02:00+08:00,lyc_focus_202609141702_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,352,0.5511363636363636,194,0.5511363636363636,158,0.44886363636363635,0.5511363636363636,707.0,300.0,128.0,true
lyc,2026-09-14T17:02:00+08:00,lyc_focus_202609141702_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,352,0.32386363636363635,114,0.32386363636363635,238,0.6761363636363636,0.32386363636363635,707.0,300.0,128.0,true
lyc,2026-09-14T17:02:00+08:00,lyc_focus_202609141702_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,352,0.6704545454545454,236,0.6704545454545454,116,0.32954545454545453,0.6704545454545454,707.0,300.0,128.0,true
lyc,2026-09-14T17:17:00+08:00,lyc_focus_202609141717_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,398,0.5301507537688442,211,0.5301507537688442,187,0.46984924623115576,0.5301507537688442,798.0,300.0,128.0,true
lyc,2026-09-14T17:17:00+08:00,lyc_focus_202609141717_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,398,0.2914572864321608,116,0.2914572864321608,282,0.7085427135678392,0.2914572864321608,798.0,300.0,128.0,true
lyc,2026-09-14T17:17:00+08:00,lyc_focus_202609141717_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,398,0.5879396984924623,234,0.5879396984924623,164,0.4120603015075377,0.5879396984924623,798.0,300.0,128.0,true
lyc,2026-09-14T18:00:00+08:00,lyc_focus_202609141800_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,634,0.471608832807571,299,0.471608832807571,335,0.5283911671924291,0.471608832807571,1271.0,300.0,128.0,true
lyc,2026-09-14T18:00:00+08:00,lyc_focus_202609141800_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,634,0.5441640378548895,345,0.5441640378548895,289,0.4558359621451104,0.5441640378548895,1271.0,300.0,128.0,true
lyc,2026-09-14T18:00:00+08:00,lyc_focus_202609141800_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,634,0.7208201892744479,457,0.7208201892744479,177,0.27917981072555204,0.7208201892744479,1271.0,300.0,128.0,true
lyc,2026-09-14T18:25:00+08:00,lyc_unfocus_202609141825_raw.edf,unfocus,unfocus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,568,0.6619718309859155,192,0.3380281690140845,376,0.6619718309859155,0.6619718309859155,1139.5,300.0,128.0,true
lyc,2026-09-14T18:25:00+08:00,lyc_unfocus_202609141825_raw.edf,unfocus,unfocus,md_note_shared,false,none,unknown,unknown,personal,240,568,0.7623239436619719,135,0.23767605633802816,433,0.7623239436619719,0.7623239436619719,1139.5,300.0,128.0,true
lyc,2026-09-14T18:25:00+08:00,lyc_unfocus_202609141825_raw.edf,unfocus,unfocus,md_note_shared,false,none,unknown,unknown,pooled,240,568,0.6901408450704225,176,0.30985915492957744,392,0.6901408450704225,0.6901408450704225,1139.5,300.0,128.0,true
lyc,2026-09-14T19:59:00+08:00,lyc_focus_202609141959_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,107,0.3177570093457944,34,0.3177570093457944,73,0.6822429906542056,0.3177570093457944,217.5,300.0,128.0,true
lyc,2026-09-14T19:59:00+08:00,lyc_focus_202609141959_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,107,0.27102803738317754,29,0.27102803738317754,78,0.7289719626168224,0.27102803738317754,217.5,300.0,128.0,true
lyc,2026-09-14T19:59:00+08:00,lyc_focus_202609141959_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,107,0.5327102803738317,57,0.5327102803738317,50,0.4672897196261682,0.5327102803738317,217.5,300.0,128.0,true
lyc,2026-09-14T20:23:00+08:00,lyc_focus_202609142023_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,mixed-common6,60,347,0.06628242074927954,23,0.06628242074927954,324,0.9337175792507204,0.06628242074927954,697.0,300.0,128.0,true
lyc,2026-09-14T20:23:00+08:00,lyc_focus_202609142023_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,personal,240,347,0.040345821325648415,14,0.040345821325648415,333,0.9596541786743515,0.040345821325648415,697.0,300.0,128.0,true
lyc,2026-09-14T20:23:00+08:00,lyc_focus_202609142023_raw.edf,focus,focus,md_note_shared,false,none,unknown,unknown,pooled,240,347,0.20461095100864554,71,0.20461095100864554,276,0.7953890489913544,0.20461095100864554,697.0,300.0,128.0,true
zyf,2026-09-14T16:41:00+08:00,zyf_unfocus_202609141641.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,mixed-common6,60,461,0.08026030368763558,37,0.08026030368763558,424,0.9197396963123644,0.08026030368763558,925.5,300.0,128.0,true
zyf,2026-09-14T16:41:00+08:00,zyf_unfocus_202609141641.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,personal,240,461,0.0455531453362256,21,0.0455531453362256,440,0.9544468546637744,0.0455531453362256,925.5,300.0,128.0,true
zyf,2026-09-14T16:41:00+08:00,zyf_unfocus_202609141641.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,pooled,240,461,0.10629067245119306,49,0.10629067245119306,412,0.8937093275488069,0.10629067245119306,925.5,300.0,128.0,true
zyf,2026-09-14T17:07:00+08:00,zyf_unfocus_202609141707.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,mixed-common6,60,604,0.3344370860927152,202,0.3344370860927152,402,0.6655629139072847,0.3344370860927152,1210.0,300.0,128.0,true
zyf,2026-09-14T17:07:00+08:00,zyf_unfocus_202609141707.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,personal,240,604,0.07947019867549669,48,0.07947019867549669,556,0.9205298013245033,0.07947019867549669,1210.0,300.0,128.0,true
zyf,2026-09-14T17:07:00+08:00,zyf_unfocus_202609141707.edf,unfocus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,unknown,unknown,pooled,240,604,0.12582781456953643,76,0.12582781456953643,528,0.8741721854304636,0.12582781456953643,1210.0,300.0,128.0,true
zyf,2026-09-14T17:52:00+08:00,zyf_focus_202609141752.edf,focus,focus,md_note,false,none,unknown,unknown,mixed-common6,60,358,0.19273743016759776,69,0.19273743016759776,289,0.8072625698324022,0.19273743016759776,719.5,300.0,128.0,true
zyf,2026-09-14T17:52:00+08:00,zyf_focus_202609141752.edf,focus,focus,md_note,false,none,unknown,unknown,personal,240,358,0.0223463687150838,8,0.0223463687150838,350,0.9776536312849162,0.0223463687150838,719.5,300.0,128.0,true
zyf,2026-09-14T17:52:00+08:00,zyf_focus_202609141752.edf,focus,focus,md_note,false,none,unknown,unknown,pooled,240,358,0.036312849162011177,13,0.036312849162011177,345,0.9636871508379888,0.036312849162011177,719.5,300.0,128.0,true
zyf,2026-09-14T18:10:00+08:00,zyf_focus_202609141810.edf,focus,focus,md_note,false,none,unknown,unknown,mixed-common6,60,419,0.3198090692124105,134,0.3198090692124105,285,0.6801909307875895,0.3198090692124105,841.0,300.0,128.0,true
zyf,2026-09-14T18:10:00+08:00,zyf_focus_202609141810.edf,focus,focus,md_note,false,none,unknown,unknown,personal,240,419,0.028639618138424822,12,0.028639618138424822,407,0.9713603818615751,0.028639618138424822,841.0,300.0,128.0,true
zyf,2026-09-14T18:10:00+08:00,zyf_focus_202609141810.edf,focus,focus,md_note,false,none,unknown,unknown,pooled,240,419,0.021479713603818614,9,0.021479713603818614,410,0.9785202863961814,0.021479713603818614,841.0,300.0,128.0,true
