dataset_version,recording_id,source_recording_id,session_group_id,subject_id,canonical_label,dataset_role,split,edf_path,activity_start_s,activity_end_s,sfreq_hz,window_sec,step_sec
legacy_dataset_v0,legacy_lyc_mixed_02_focus,legacy_lyc_mixed_02,legacy_lyc_mixed_02,lyc,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_0003_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_lyc_mixed_02_unfocus,legacy_lyc_mixed_02,legacy_lyc_mixed_02,lyc,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_0003_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_lyc_focus_03,legacy_lyc_focus_03,legacy_lyc_run_03,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus3.edf,0,905.5,300,4,2
legacy_dataset_v0,legacy_lyc_iu_03,legacy_lyc_iu_03,legacy_lyc_run_03,lyc,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/iu3.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_ou_03,legacy_lyc_ou_03,legacy_lyc_run_03,lyc,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/ou3.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_04,legacy_lyc_focus_04,legacy_lyc_run_04,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus4.edf,0,650.5,300,4,2
legacy_dataset_v0,legacy_lyc_iu_04,legacy_lyc_iu_04,legacy_lyc_run_04,lyc,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/iu4.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_05,legacy_lyc_focus_05,legacy_lyc_run_05,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus5.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_06,legacy_lyc_focus_06,legacy_lyc_run_06,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus6.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_07,legacy_lyc_focus_07,legacy_lyc_run_07,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus7.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_08,legacy_lyc_focus_08,legacy_lyc_run_08,lyc,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/focus8.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_01_focus,legacy_zqd_mixed_01,legacy_zqd_mixed_01,zqd,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_1_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_01_unfocus,legacy_zqd_mixed_01,legacy_zqd_mixed_01,zqd,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_1_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_02_focus,legacy_zqd_mixed_02,legacy_zqd_mixed_02,zqd,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_2_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_02_unfocus,legacy_zqd_mixed_02,legacy_zqd_mixed_02,zqd,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_2_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_03_focus,legacy_zqd_mixed_03,legacy_zqd_mixed_03,zqd,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_3_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zqd_mixed_03_unfocus,legacy_zqd_mixed_03,legacy_zqd_mixed_03,zqd,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zqd_3_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_01_focus,legacy_zyf_mixed_01,legacy_zyf_mixed_01,zyf,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_1_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_01_unfocus,legacy_zyf_mixed_01,legacy_zyf_mixed_01,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_1_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_02_focus,legacy_zyf_mixed_02,legacy_zyf_mixed_02,zyf,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_2_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_02_unfocus,legacy_zyf_mixed_02,legacy_zyf_mixed_02,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_2_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_03_focus,legacy_zyf_mixed_03,legacy_zyf_mixed_03,zyf,focus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_3_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_zyf_mixed_03_unfocus,legacy_zyf_mixed_03,legacy_zyf_mixed_03,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/mixed_20min/data_zyf_3_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_zyf_focus_01,legacy_zyf_focus_01,legacy_zyf_run_01,zyf,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_focus1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_iu_01,legacy_zyf_iu_01,legacy_zyf_run_01,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_iu1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_ou_01,legacy_zyf_ou_01,legacy_zyf_run_01,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_ou1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_focus_02,legacy_zyf_focus_02,legacy_zyf_run_02,zyf,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_focus2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_iu_02,legacy_zyf_iu_02,legacy_zyf_run_02,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_iu2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_ou_02,legacy_zyf_ou_02,legacy_zyf_run_02,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_ou2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_focus_03,legacy_zyf_focus_03,legacy_zyf_run_03,zyf,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_focus3.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_ou_03,legacy_zyf_ou_03,legacy_zyf_run_03,zyf,unfocus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_ou3.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_zyf_focus_04,legacy_zyf_focus_04,legacy_zyf_run_04,zyf,focus,legacy_baseline_candidate,train,data/legacy/multiclass_10min/zyf_focus4.edf,0,613.5,300,4,2
legacy_dataset_v0,legacy_lyc_mixed_01_focus,legacy_lyc_mixed_01,legacy_lyc_mixed_01,lyc,focus,legacy_baseline_candidate,validation,data/legacy/mixed_20min/data_0002_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_lyc_mixed_01_unfocus,legacy_lyc_mixed_01,legacy_lyc_mixed_01,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/mixed_20min/data_0002_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_lyc_mixed_03_focus,legacy_lyc_mixed_03,legacy_lyc_mixed_03,lyc,focus,legacy_baseline_candidate,validation,data/legacy/mixed_20min/data_0004_raw.edf,600,1200.0,300,4,2
legacy_dataset_v0,legacy_lyc_mixed_03_unfocus,legacy_lyc_mixed_03,legacy_lyc_mixed_03,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/mixed_20min/data_0004_raw.edf,0,600.0,300,4,2
legacy_dataset_v0,legacy_lyc_focus_01,legacy_lyc_focus_01,legacy_lyc_run_01,lyc,focus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/focus1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_iu_01,legacy_lyc_iu_01,legacy_lyc_run_01,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/iu1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_ou_01,legacy_lyc_ou_01,legacy_lyc_run_01,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/ou1.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_02,legacy_lyc_focus_02,legacy_lyc_run_02,lyc,focus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/focus2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_iu_02,legacy_lyc_iu_02,legacy_lyc_run_02,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/iu2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_ou_02,legacy_lyc_ou_02,legacy_lyc_run_02,lyc,unfocus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/ou2.edf,0,599.5,300,4,2
legacy_dataset_v0,legacy_lyc_focus_09,legacy_lyc_focus_09,legacy_lyc_run_09,lyc,focus,legacy_baseline_candidate,validation,data/legacy/multiclass_10min/focus9.edf,0,599.5,300,4,2
