edf_path,sampling_rate_hz,available_channels,matched_channels,missing_common7_channels,common7_available
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus3.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus4.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus5.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus6.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus7.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus8.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\focus9.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu3.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\iu4.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\ou3.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus3.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_focus4.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_iu1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_iu2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou1.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou2.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\multiclass_10min\zyf_ou3.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_0002_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_0003_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_0004_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_zyf_1_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_zyf_2_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
C:\CHLight\0-Plan\EEGreproduction\EEGAttention\data\legacy\mixed_20min\data_zyf_3_raw.edf,300.0,"P3-Pz, C3-Pz, F3-Pz, Fz-Pz, F4-Pz, C4-Pz, P4-Pz, Cz-Pz, CM-Pz, A1-Pz, Fp1-Pz, Fp2-Pz, T3-Pz, T5-Pz, O1-Pz, O2-Pz, X3-Pz, X2-Pz, F7-Pz, F8-Pz, X1-Pz, A2-Pz, T6-Pz, T4-Pz, Trigger",F7=F7-Pz; F3=F3-Pz; P7=None; O1=O1-Pz; O2=O2-Pz; P8=None; AF4=None,"P7, P8, AF4",False
