Training googlenet (pca) on cuda...
[Epoch 1/50] train_loss=0.4009, test_loss=0.1859, acc=0.9221, time=41.9s
[Epoch 2/50] train_loss=0.1427, test_loss=0.1051, acc=0.9589, time=41.6s
[Epoch 3/50] train_loss=0.0708, test_loss=0.0465, acc=0.9836, time=42.6s
[Epoch 4/50] train_loss=0.0434, test_loss=0.0609, acc=0.9777, time=42.6s
[Epoch 5/50] train_loss=0.0387, test_loss=0.0391, acc=0.9870, time=42.4s
[Epoch 6/50] train_loss=0.0273, test_loss=0.0527, acc=0.9810, time=42.6s
[Epoch 7/50] train_loss=0.0261, test_loss=0.0519, acc=0.9818, time=42.8s
[Epoch 8/50] train_loss=0.0262, test_loss=0.0283, acc=0.9913, time=42.6s
[Epoch 9/50] train_loss=0.0166, test_loss=0.0317, acc=0.9892, time=42.9s
[Epoch 10/50] train_loss=0.0181, test_loss=0.0488, acc=0.9849, time=43.0s
[Epoch 11/50] train_loss=0.0185, test_loss=0.0334, acc=0.9890, time=42.9s
[Epoch 12/50] train_loss=0.0162, test_loss=0.0145, acc=0.9957, time=42.9s
[Epoch 13/50] train_loss=0.0125, test_loss=0.0560, acc=0.9881, time=43.1s
[Epoch 14/50] train_loss=0.0162, test_loss=0.0318, acc=0.9903, time=43.0s
[Epoch 15/50] train_loss=0.0120, test_loss=0.0255, acc=0.9929, time=43.6s
[Epoch 16/50] train_loss=0.0125, test_loss=0.0276, acc=0.9924, time=43.8s
[Epoch 17/50] train_loss=0.0121, test_loss=0.0210, acc=0.9941, time=42.6s
[Epoch 18/50] train_loss=0.0076, test_loss=0.0341, acc=0.9896, time=42.8s
[Epoch 19/50] train_loss=0.0157, test_loss=0.0141, acc=0.9961, time=42.8s
[Epoch 20/50] train_loss=0.0073, test_loss=0.0242, acc=0.9924, time=42.4s
[Epoch 21/50] train_loss=0.0106, test_loss=0.0354, acc=0.9909, time=42.3s
[Epoch 22/50] train_loss=0.0086, test_loss=0.0114, acc=0.9961, time=42.1s
[Epoch 23/50] train_loss=0.0077, test_loss=0.0241, acc=0.9920, time=42.5s
[Epoch 24/50] train_loss=0.0086, test_loss=0.0235, acc=0.9924, time=43.1s
[Epoch 25/50] train_loss=0.0066, test_loss=0.0136, acc=0.9952, time=43.6s
[Epoch 26/50] train_loss=0.0068, test_loss=0.0162, acc=0.9952, time=42.4s
[Epoch 27/50] train_loss=0.0083, test_loss=0.0225, acc=0.9935, time=42.2s
[Epoch 28/50] train_loss=0.0066, test_loss=0.0166, acc=0.9950, time=42.6s
[Epoch 29/50] train_loss=0.0065, test_loss=0.0149, acc=0.9955, time=42.1s
[Epoch 30/50] train_loss=0.0074, test_loss=0.0147, acc=0.9952, time=42.6s
[Epoch 31/50] train_loss=0.0048, test_loss=0.0161, acc=0.9946, time=42.6s
[Epoch 32/50] train_loss=0.0055, test_loss=0.0136, acc=0.9959, time=42.4s
[Epoch 33/50] train_loss=0.0029, test_loss=0.0154, acc=0.9957, time=42.2s
[Epoch 34/50] train_loss=0.0099, test_loss=0.0139, acc=0.9950, time=42.2s
[Epoch 35/50] train_loss=0.0031, test_loss=0.0134, acc=0.9967, time=42.7s
[Epoch 36/50] train_loss=0.0033, test_loss=0.0093, acc=0.9976, time=42.3s
[Epoch 37/50] train_loss=0.0013, test_loss=0.0121, acc=0.9963, time=43.4s
[Epoch 38/50] train_loss=0.0064, test_loss=0.0310, acc=0.9913, time=43.1s
[Epoch 39/50] train_loss=0.0038, test_loss=0.0201, acc=0.9933, time=42.5s
[Epoch 40/50] train_loss=0.0012, test_loss=0.0133, acc=0.9968, time=42.3s
[Epoch 41/50] train_loss=0.0001, test_loss=0.0179, acc=0.9965, time=42.4s
[Epoch 42/50] train_loss=0.0045, test_loss=0.0236, acc=0.9929, time=42.4s
[Epoch 43/50] train_loss=0.0054, test_loss=0.0131, acc=0.9952, time=42.2s
[Epoch 44/50] train_loss=0.0014, test_loss=0.0119, acc=0.9957, time=42.4s
[Epoch 45/50] train_loss=0.0026, test_loss=0.0522, acc=0.9864, time=42.5s
[Epoch 46/50] train_loss=0.0045, test_loss=0.0274, acc=0.9935, time=43.2s
[Epoch 47/50] train_loss=0.0015, test_loss=0.0167, acc=0.9961, time=42.6s
[Epoch 48/50] train_loss=0.0007, test_loss=0.0171, acc=0.9955, time=43.2s
[Epoch 49/50] train_loss=0.0016, test_loss=0.0144, acc=0.9954, time=43.5s
[Epoch 50/50] train_loss=0.0032, test_loss=0.0129, acc=0.9963, time=42.6s
