experiment,fold_info,train_samples,test_samples,train_focus,train_unfocus,test_focus,test_unfocus,accuracy,balanced_accuracy,precision_focus,recall_focus,f1_focus,f1_macro,tn_unfocus_to_unfocus,fp_unfocus_to_focus,fn_focus_to_unfocus,tp_focus_to_focus,train_seconds,pca_components
A_original_train_original_test_subject_leave_one,test_subject=original_P01,21060,5850,10530,10530,2925,2925,0.652991452991453,0.652991452991453,0.6700874192322311,0.6027350427350427,0.634629229661627,0.6521127919141468,2057,868,1162,1763,60.009026527404785,29
A_original_train_original_test_subject_leave_one,test_subject=original_P02,21060,5850,10530,10530,2925,2925,0.7822222222222223,0.7822222222222223,0.8446764091858038,0.6916239316239317,0.7605263157894737,0.7804198977066491,2553,372,902,2023,50.84512519836426,27
A_original_train_original_test_subject_leave_one,test_subject=original_P03,21060,5850,10530,10530,2925,2925,0.7294017094017095,0.7294017094017093,0.663022351797862,0.932991452991453,0.7751739809686125,0.7177007488015417,1538,1387,196,2729,65.00987792015076,28
A_original_train_original_test_subject_leave_one,test_subject=original_P04,22230,4680,11115,11115,2340,2340,0.6057692307692307,0.6057692307692308,0.6805251641137856,0.39871794871794874,0.5028294260307195,0.5881114735039418,1902,438,1407,933,74.04906058311462,31
A_original_train_original_test_subject_leave_one,test_subject=original_P05,22230,4680,11115,11115,2340,2340,0.6121794871794872,0.6121794871794872,0.5748502994011976,0.8615384615384616,0.689584402257568,0.5864659842201589,849,1491,324,2016,72.28850626945496,29
B_self_train_self_test_subject_leave_one,test_subject=self_S01,7020,3510,3510,3510,1755,1755,0.5985754985754985,0.5985754985754985,0.9552631578947368,0.20683760683760682,0.34004683840749417,0.5258064284156201,1738,17,1392,363,3.8302829265594482,35
B_self_train_self_test_subject_leave_one,test_subject=self_S02,7020,3510,3510,3510,1755,1755,0.6857549857549857,0.6857549857549857,0.6369747899159663,0.8638176638176638,0.7332527206771463,0.6754651818290411,891,864,239,1516,2.7337827682495117,42
B_self_train_self_test_subject_leave_one,test_subject=self_S03,7020,3510,3510,3510,1755,1755,0.7515669515669515,0.7515669515669516,0.7083529966965549,0.8552706552706553,0.774909654104285,0.748866143008913,1137,618,254,1501,3.93652606010437,31
C_original_train_self_test,train_all_original_test_all_self,26910,10530,13455,13455,5265,5265,0.45925925925925926,0.45925925925925926,0.4749854227405248,0.773599240265907,0.5885838150289018,0.3999705778745617,763,4502,1192,4073,72.49108028411865,29
D_self_train_original_test,train_all_self_test_all_original,10530,26910,5265,5265,13455,13455,0.4926793013749535,0.4926793013749535,0.46860057379662096,0.10925306577480491,0.17719382835101255,0.40524030087369045,11788,1667,11985,1470,4.052856206893921,35
E_original_plus_self_train_self_subject_test,test_self_subject=self_S01,33930,3510,16965,16965,1755,1755,0.5065527065527066,0.5065527065527066,0.509704641350211,0.34415954415954414,0.4108843537414966,0.49318727490996395,1174,581,1151,604,151.4625871181488,28
E_original_plus_self_train_self_subject_test,test_self_subject=self_S02,33930,3510,16965,16965,1755,1755,0.7002849002849003,0.7002849002849003,0.6482496836777731,0.8757834757834758,0.7450315075133301,0.6907603978478882,921,834,218,1537,232.63345313072205,29
E_original_plus_self_train_self_subject_test,test_self_subject=self_S03,33930,3510,16965,16965,1755,1755,0.7504273504273504,0.7504273504273504,0.7214105793450881,0.815954415954416,0.7657754010695187,0.7493511151689056,1202,553,323,1432,234.9905710220337,28
