dataset_version,recording_id,source_recording_id,subject_id,recorded_date,recorded_at_local,recorded_at_source,file_modified_at_local,session_number,session_group_id,segment_order,source_label,canonical_label,label_source,dataset_role,split,edf_path,csv_path,dsi_path,recording_duration_s,activity_start_s,activity_end_s,sfreq_hz,n_signals,window_sec,step_sec,sha256,status,metadata_confidence,notes
legacy_dataset_v0,legacy_lyc_daze_01,legacy_lyc_daze_01,lyc,2026-07-06,2026-07-06 19:55:13,edf_header,2026-07-06 20:05:36,1,legacy_lyc_run_01,single_state_full_recording,daze,rest,filename_and_legacy_notebook,legacy_reference,excluded_binary,data/legacy/multiclass_10min/daze1.edf,data/legacy/multiclass_10min/daze1.csv,,599.5,0,599.5,300,26,4,2,054cc3168c65991ba10d6d37d90a55c55788e87a2eb914bc0ab0e5dbd03e6615,reference_rest,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_daze_02,legacy_lyc_daze_02,lyc,2026-07-06,2026-07-06 21:11:43,edf_header,2026-07-06 21:22:06,2,legacy_lyc_run_02,single_state_full_recording,daze,rest,filename_and_legacy_notebook,legacy_reference,excluded_binary,data/legacy/multiclass_10min/daze2.edf,data/legacy/multiclass_10min/daze2.csv,,599.5,0,599.5,300,26,4,2,75c89eb5c063f1c44f861fee70426d0928fcc515bf550508d82772117c23ee32,reference_rest,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_01,legacy_lyc_focus_01,lyc,2026-07-06,2026-07-06 19:04:53,edf_header,2026-07-06 19:15:18,1,legacy_lyc_run_01,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus1.edf,data/legacy/multiclass_10min/focus1.csv,,599.5,0,599.5,300,26,4,2,c4ce63dbb64a530a04244333e4ec8be494a96149a1d1d334959fac349582b58d,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_02,legacy_lyc_focus_02,lyc,2026-07-06,2026-07-06 20:34:57,edf_header,2026-07-06 20:45:32,2,legacy_lyc_run_02,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus2.edf,data/legacy/multiclass_10min/focus2.csv,,599.5,0,599.5,300,26,4,2,b1a8330d84fa03653a5e844cc4326ed735353ac7106d669bc4a1edd4d10f7b84,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_03,legacy_lyc_focus_03,lyc,2026-07-07,2026-07-07 16:56:02,edf_header,2026-07-07 17:11:44,3,legacy_lyc_run_03,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus3.edf,data/legacy/multiclass_10min/focus3.csv,data/legacy/multiclass_10min/focus3.dsi,905.5,0,905.5,300,26,4,2,59b72a75158660517c468f873195aef8c16903f4621fa0a05a0a9e5484604bd4,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_04,legacy_lyc_focus_04,lyc,2026-07-07,2026-07-07 17:12:00,edf_header,2026-07-07 17:23:16,4,legacy_lyc_run_04,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus4.edf,data/legacy/multiclass_10min/focus4.csv,data/legacy/multiclass_10min/focus4.dsi,650.5,0,650.5,300,26,4,2,e2c18afb9ce3b5a98a5ccae378cc087e32fb9d72681a9f03d58d8f39d5ce418e,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_05,legacy_lyc_focus_05,lyc,2026-07-07,2026-07-07 18:36:45,edf_header,2026-07-07 18:47:26,5,legacy_lyc_run_05,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus5.edf,data/legacy/multiclass_10min/focus5.csv,data/legacy/multiclass_10min/focus5.dsi,599.5,0,599.5,300,26,4,2,964bab2764b77848189676c11a1233ec5ed4127ab37e0ec6f38e41244c4ab316,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_06,legacy_lyc_focus_06,lyc,2026-07-07,2026-07-07 19:59:14,edf_header,2026-07-07 20:09:50,6,legacy_lyc_run_06,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus6.edf,data/legacy/multiclass_10min/focus6.csv,data/legacy/multiclass_10min/focus6.dsi,599.5,0,599.5,300,26,4,2,33ec957bd582ccabdf866fc6d8502b993aedef61acf360ded6fe38b270dc5f0a,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_07,legacy_lyc_focus_07,lyc,2026-07-08,2026-07-08 17:35:14,edf_header,2026-07-08 17:45:38,7,legacy_lyc_run_07,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus7.edf,data/legacy/multiclass_10min/focus7.csv,,599.5,0,599.5,300,26,4,2,94e7a3d361a0a2ab0b927109bc4e3be2a8df54d33313bb907efa32a70ce8f72a,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
legacy_dataset_v0,legacy_lyc_focus_08,legacy_lyc_focus_08,lyc,2026-07-08,2026-07-08 17:16:14,edf_header,2026-07-08 17:26:38,8,legacy_lyc_run_08,single_state_full_recording,focus,focus,filename_and_legacy_notebook,legacy_baseline_candidate,unassigned,data/legacy/multiclass_10min/focus8.edf,data/legacy/multiclass_10min/focus8.csv,,599.5,0,599.5,300,26,4,2,1dcb8b1c4158340bc24a7ca6eccf02dfb903a247e7a323f7bd1b694bd62c4298,candidate,subject_confirmed_by_owner;recorded_at_from_edf_header;session_inferred_from_filename,subject confirmed by data owner; EDF header start cross-checked against file modification time; session group is a conservative filename-based grouping
