fold,test_file,true_label_id,true_label,pred_file_label_id,pred_file_label,file_correct,window_accuracy,n_train_files,n_test_windows,pred_count_focus,pred_ratio_focus,pred_count_distracted,pred_ratio_distracted,pred_count_daze,pred_ratio_daze
1,daze1.edf,2,daze,2,daze,1,0.6073825503355704,28,298,30,0.10067114093959731,87,0.29194630872483224,181,0.6073825503355704
2,daze2.edf,2,daze,2,daze,1,0.7114093959731543,28,298,1,0.003355704697986577,85,0.28523489932885904,212,0.7114093959731543
3,focus1.edf,0,focus,1,distracted,0,0.436241610738255,28,298,130,0.436241610738255,168,0.5637583892617449,0,0.0
4,focus2.edf,0,focus,1,distracted,0,0.3422818791946309,28,298,102,0.3422818791946309,181,0.6073825503355704,15,0.050335570469798654
5,focus3.edf,0,focus,0,focus,1,0.8603104212860311,28,451,388,0.8603104212860311,21,0.04656319290465632,42,0.09312638580931264
6,focus4.edf,0,focus,0,focus,1,0.7530864197530864,28,324,244,0.7530864197530864,79,0.24382716049382716,1,0.0030864197530864196
7,focus5.edf,0,focus,1,distracted,0,0.1912751677852349,28,298,57,0.1912751677852349,227,0.761744966442953,14,0.04697986577181208
8,focus6.edf,0,focus,1,distracted,0,0.07046979865771812,28,298,21,0.07046979865771812,266,0.8926174496644296,11,0.03691275167785235
9,focus7.edf,0,focus,0,focus,1,0.9966442953020134,28,298,297,0.9966442953020134,1,0.003355704697986577,0,0.0
10,focus8.edf,0,focus,0,focus,1,0.9966442953020134,28,298,297,0.9966442953020134,1,0.003355704697986577,0,0.0
11,focus9.edf,0,focus,0,focus,1,0.9697986577181208,28,298,289,0.9697986577181208,7,0.02348993288590604,2,0.006711409395973154
12,iu1.edf,1,distracted,1,distracted,1,0.8187919463087249,28,298,53,0.17785234899328858,244,0.8187919463087249,1,0.003355704697986577
13,iu2.edf,1,distracted,1,distracted,1,0.8590604026845637,28,298,38,0.12751677852348994,256,0.8590604026845637,4,0.013422818791946308
14,iu3.edf,1,distracted,1,distracted,1,0.8053691275167785,28,298,57,0.1912751677852349,240,0.8053691275167785,1,0.003355704697986577
15,iu4.edf,1,distracted,0,focus,0,0.39932885906040266,28,298,179,0.6006711409395973,119,0.39932885906040266,0,0.0
16,ou1.edf,1,distracted,1,distracted,1,0.8624161073825504,28,298,36,0.12080536912751678,257,0.8624161073825504,5,0.016778523489932886
17,ou2.edf,1,distracted,1,distracted,1,0.7181208053691275,28,298,29,0.09731543624161074,214,0.7181208053691275,55,0.18456375838926176
18,ou3.edf,1,distracted,0,focus,0,0.4563758389261745,28,298,156,0.5234899328859061,136,0.4563758389261745,6,0.020134228187919462
19,zyf_daze1.edf,2,daze,1,distracted,0,0.10738255033557047,28,298,28,0.09395973154362416,238,0.7986577181208053,32,0.10738255033557047
20,zyf_daze2.edf,2,daze,2,daze,1,0.47651006711409394,28,298,139,0.4664429530201342,17,0.05704697986577181,142,0.47651006711409394
21,zyf_focus1.edf,0,focus,1,distracted,0,0.18456375838926176,28,298,55,0.18456375838926176,243,0.8154362416107382,0,0.0
22,zyf_focus2.edf,0,focus,0,focus,1,0.9463087248322147,28,298,282,0.9463087248322147,15,0.050335570469798654,1,0.003355704697986577
23,zyf_focus3.edf,0,focus,0,focus,1,0.5838926174496645,28,298,174,0.5838926174496645,124,0.4161073825503356,0,0.0
24,zyf_focus4.edf,0,focus,0,focus,1,0.6852459016393443,28,305,209,0.6852459016393443,67,0.21967213114754097,29,0.09508196721311475
25,zyf_iu1.edf,1,distracted,0,focus,0,0.2348993288590604,28,298,208,0.697986577181208,70,0.2348993288590604,20,0.06711409395973154
26,zyf_iu2.edf,1,distracted,0,focus,0,0.35906040268456374,28,298,190,0.6375838926174496,107,0.35906040268456374,1,0.003355704697986577
27,zyf_ou1.edf,1,distracted,1,distracted,1,0.9563758389261745,28,298,11,0.03691275167785235,285,0.9563758389261745,2,0.006711409395973154
28,zyf_ou2.edf,1,distracted,1,distracted,1,0.7013422818791947,28,298,78,0.26174496644295303,209,0.7013422818791947,11,0.03691275167785235
29,zyf_ou3.edf,1,distracted,1,distracted,1,0.761744966442953,28,298,71,0.23825503355704697,227,0.761744966442953,0,0.0
