Training resnet18 (pca) on cuda...
[Epoch 1/50] train_loss=0.4412, test_loss=0.3636, acc=0.8439, time=35.5s
[Epoch 2/50] train_loss=0.2216, test_loss=0.2876, acc=0.8803, time=35.0s
[Epoch 3/50] train_loss=0.1284, test_loss=0.0945, acc=0.9634, time=35.1s
[Epoch 4/50] train_loss=0.0827, test_loss=0.0712, acc=0.9751, time=35.7s
[Epoch 5/50] train_loss=0.0596, test_loss=0.0727, acc=0.9751, time=35.6s
[Epoch 6/50] train_loss=0.0405, test_loss=0.0881, acc=0.9653, time=35.5s
[Epoch 7/50] train_loss=0.0374, test_loss=0.0591, acc=0.9784, time=35.7s
[Epoch 8/50] train_loss=0.0353, test_loss=0.0417, acc=0.9874, time=35.7s
[Epoch 9/50] train_loss=0.0296, test_loss=0.0488, acc=0.9838, time=35.4s
[Epoch 10/50] train_loss=0.0302, test_loss=0.0443, acc=0.9831, time=35.4s
[Epoch 11/50] train_loss=0.0233, test_loss=0.0391, acc=0.9911, time=35.3s
[Epoch 12/50] train_loss=0.0243, test_loss=0.0599, acc=0.9812, time=35.7s
[Epoch 13/50] train_loss=0.0209, test_loss=0.0318, acc=0.9896, time=36.7s
[Epoch 14/50] train_loss=0.0162, test_loss=0.0513, acc=0.9844, time=36.5s
[Epoch 15/50] train_loss=0.0206, test_loss=0.0462, acc=0.9853, time=36.4s
[Epoch 16/50] train_loss=0.0203, test_loss=0.0548, acc=0.9786, time=36.5s
[Epoch 17/50] train_loss=0.0136, test_loss=0.0532, acc=0.9822, time=36.6s
[Epoch 18/50] train_loss=0.0119, test_loss=0.0186, acc=0.9941, time=36.7s
[Epoch 19/50] train_loss=0.0131, test_loss=0.0211, acc=0.9939, time=36.6s
[Epoch 20/50] train_loss=0.0142, test_loss=0.0484, acc=0.9863, time=37.6s
[Epoch 21/50] train_loss=0.0146, test_loss=0.0239, acc=0.9933, time=36.7s
[Epoch 22/50] train_loss=0.0112, test_loss=0.0164, acc=0.9955, time=36.6s
[Epoch 23/50] train_loss=0.0082, test_loss=0.0319, acc=0.9913, time=37.1s
[Epoch 24/50] train_loss=0.0124, test_loss=0.0327, acc=0.9902, time=36.7s
[Epoch 25/50] train_loss=0.0078, test_loss=0.0538, acc=0.9864, time=36.5s
[Epoch 26/50] train_loss=0.0120, test_loss=0.0273, acc=0.9909, time=36.6s
[Epoch 27/50] train_loss=0.0074, test_loss=0.0214, acc=0.9941, time=36.7s
[Epoch 28/50] train_loss=0.0082, test_loss=0.0175, acc=0.9961, time=36.5s
[Epoch 29/50] train_loss=0.0083, test_loss=0.0161, acc=0.9968, time=36.4s
[Epoch 30/50] train_loss=0.0065, test_loss=0.0170, acc=0.9954, time=36.7s
[Epoch 31/50] train_loss=0.0057, test_loss=0.0171, acc=0.9965, time=36.7s
[Epoch 32/50] train_loss=0.0105, test_loss=0.0160, acc=0.9955, time=36.7s
[Epoch 33/50] train_loss=0.0049, test_loss=0.0223, acc=0.9948, time=36.6s
[Epoch 34/50] train_loss=0.0060, test_loss=0.0122, acc=0.9965, time=36.5s
[Epoch 35/50] train_loss=0.0057, test_loss=0.0103, acc=0.9972, time=36.6s
[Epoch 36/50] train_loss=0.0090, test_loss=0.0118, acc=0.9972, time=36.9s
[Epoch 37/50] train_loss=0.0017, test_loss=0.0116, acc=0.9980, time=36.5s
[Epoch 38/50] train_loss=0.0055, test_loss=0.0169, acc=0.9957, time=36.6s
[Epoch 39/50] train_loss=0.0066, test_loss=0.0192, acc=0.9948, time=36.4s
[Epoch 40/50] train_loss=0.0024, test_loss=0.0212, acc=0.9929, time=36.4s
[Epoch 41/50] train_loss=0.0060, test_loss=0.0172, acc=0.9955, time=36.7s
[Epoch 42/50] train_loss=0.0046, test_loss=0.0303, acc=0.9894, time=36.7s
[Epoch 43/50] train_loss=0.0041, test_loss=0.0094, acc=0.9981, time=36.6s
[Epoch 44/50] train_loss=0.0017, test_loss=0.0080, acc=0.9978, time=36.5s
[Epoch 45/50] train_loss=0.0014, test_loss=0.0111, acc=0.9963, time=36.6s
[Epoch 46/50] train_loss=0.0057, test_loss=0.0152, acc=0.9946, time=36.5s
[Epoch 47/50] train_loss=0.0027, test_loss=0.0081, acc=0.9981, time=36.5s
[Epoch 48/50] train_loss=0.0001, test_loss=0.0089, acc=0.9981, time=36.5s
[Epoch 49/50] train_loss=0.0000, test_loss=0.0097, acc=0.9981, time=35.7s
[Epoch 50/50] train_loss=0.0000, test_loss=0.0101, acc=0.9981, time=35.4s
